,cluster,functional,basis,n_dmso,n_water,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max
126,4,B3LYP,6-31+G*,1,10,67.565,67.565,54.883,54.883,4.447,5.987,4.235,5.775
127,4,B3LYP,6-31+G*,1,12,67.565,67.565,54.883,54.883,4.096,5.981,3.884,5.769
128,4,B3LYP,6-31+G*,2,1,67.895,68.046,55.213,55.364,7.015,7.015,6.803,6.803
129,4,B3LYP,6-31+G*,2,2,67.895,68.046,55.213,55.364,6.115,6.577,5.903,6.365
130,4,B3LYP,6-31+G*,2,3,67.895,68.046,55.213,55.364,5.349,5.361,5.137,5.149
131,4,B3LYP,6-31+G*,2,4,67.895,68.046,55.213,55.364,5.256,6.169,5.044,5.957
132,4,B3LYP,6-31+G*,2,6,67.895,68.046,55.213,55.364,4.324,4.995,4.112,4.783
133,4,B3LYP,6-31+G*,2,8,67.895,68.046,55.213,55.364,4.485,6.07,4.273,5.858
134,4,B3LYP,6-31+G*,2,10,67.895,68.046,55.213,55.364,4.447,5.987,4.235,5.775
135,4,B3LYP,6-31+G*,2,12,67.895,68.046,55.213,55.364,4.096,5.981,3.884,5.769
136,4,B3LYP,6-31+G*,3,1,67.769,68.538,55.087,55.856,7.015,7.015,6.803,6.803
137,4,B3LYP,6-31+G*,3,2,67.769,68.538,55.087,55.856,6.115,6.577,5.903,6.365
138,4,B3LYP,6-31+G*,3,3,67.769,68.538,55.087,55.856,5.349,5.361,5.137,5.149
139,4,B3LYP,6-31+G*,3,4,67.769,68.538,55.087,55.856,5.256,6.169,5.044,5.957
140,4,B3LYP,6-31+G*,3,6,67.769,68.538,55.087,55.856,4.324,4.995,4.112,4.783
141,4,B3LYP,6-31+G*,3,8,67.769,68.538,55.087,55.856,4.485,6.07,4.273,5.858
142,4,B3LYP,6-31+G*,3,10,67.769,68.538,55.087,55.856,4.447,5.987,4.235,5.775
143,4,B3LYP,6-31+G*,3,12,67.769,68.538,55.087,55.856,4.096,5.981,3.884,5.769
144,4,B3LYP,6-31+G*,4,1,68.382,69.762,55.7,57.08,7.015,7.015,6.803,6.803
145,4,B3LYP,6-31+G*,4,2,68.382,69.762,55.7,57.08,6.115,6.577,5.903,6.365
146,4,B3LYP,6-31+G*,4,3,68.382,69.762,55.7,57.08,5.349,5.361,5.137,5.149
147,4,B3LYP,6-31+G*,4,4,68.382,69.762,55.7,57.08,5.256,6.169,5.044,5.957
148,4,B3LYP,6-31+G*,4,6,68.382,69.762,55.7,57.08,4.324,4.995,4.112,4.783
149,4,B3LYP,6-31+G*,4,8,68.382,69.762,55.7,57.08,4.485,6.07,4.273,5.858
150,4,B3LYP,6-31+G*,4,10,68.382,69.762,55.7,57.08,4.447,5.987,4.235,5.775
151,4,B3LYP,6-31+G*,4,12,68.382,69.762,55.7,57.08,4.096,5.981,3.884,5.769
152,4,B3LYP,6-31+G*,6,1,68.679,70.393,55.997,57.711,7.015,7.015,6.803,6.803
153,4,B3LYP,6-31+G*,6,2,68.679,70.393,55.997,57.711,6.115,6.577,5.903,6.365
154,4,B3LYP,6-31+G*,6,3,68.679,70.393,55.997,57.711,5.349,5.361,5.137,5.149
155,4,B3LYP,6-31+G*,6,4,68.679,70.393,55.997,57.711,5.256,6.169,5.044,5.957
156,4,B3LYP,6-31+G*,6,6,68.679,70.393,55.997,57.711,4.324,4.995,4.112,4.783
157,4,B3LYP,6-31+G*,6,8,68.679,70.393,55.997,57.711,4.485,6.07,4.273,5.858
158,4,B3LYP,6-31+G*,6,10,68.679,70.393,55.997,57.711,4.447,5.987,4.235,5.775
159,4,B3LYP,6-31+G*,6,12,68.679,70.393,55.997,57.711,4.096,5.981,3.884,5.769
160,1,B3LYP,6-311++G**,1,1,69.405,69.405,55.452,55.452,7.107,7.107,7.076,7.076
161,1,B3LYP,6-311++G**,1,2,69.405,69.405,55.452,55.452,6.02,6.525,5.989,6.494
162,1,B3LYP,6-311++G**,1,3,69.405,69.405,55.452,55.452,5.222,5.243,5.191,5.212
163,1,B3LYP,6-311++G**,1,4,69.405,69.405,55.452,55.452,5.01,6.034,4.979,6.003
164,1,B3LYP,6-311++G**,1,6,69.405,69.405,55.452,55.452,4.462,5.982,4.431,5.951
165,1,B3LYP,6-311++G**,1,8,69.405,69.405,55.452,55.452,4.148,5.943,4.117,5.912
166,1,B3LYP,6-311++G**,1,10,69.405,69.405,55.452,55.452,4.145,5.863,4.114,5.832
167,1,B3LYP,6-311++G**,1,12,69.405,69.405,55.452,55.452,3.646,5.868,3.615,5.837
168,1,B3LYP,6-311++G**,2,1,69.758,69.88,55.805,55.927,7.107,7.107,7.076,7.076
169,1,B3LYP,6-311++G**,2,2,69.758,69.88,55.805,55.927,6.02,6.525,5.989,6.494
170,1,B3LYP,6-311++G**,2,3,69.758,69.88,55.805,55.927,5.222,5.243,5.191,5.212
171,1,B3LYP,6-311++G**,2,4,69.758,69.88,55.805,55.927,5.01,6.034,4.979,6.003
172,1,B3LYP,6-311++G**,2,6,69.758,69.88,55.805,55.927,4.462,5.982,4.431,5.951
173,1,B3LYP,6-311++G**,2,8,69.758,69.88,55.805,55.927,4.148,5.943,4.117,5.912
174,1,B3LYP,6-311++G**,2,10,69.758,69.88,55.805,55.927,4.145,5.863,4.114,5.832
175,1,B3LYP,6-311++G**,2,12,69.758,69.88,55.805,55.927,3.646,5.868,3.615,5.837
176,1,B3LYP,6-311++G**,3,1,69.556,69.789,55.603,55.836,7.107,7.107,7.076,7.076
177,1,B3LYP,6-311++G**,3,2,69.556,69.789,55.603,55.836,6.02,6.525,5.989,6.494
178,1,B3LYP,6-311++G**,3,3,69.556,69.789,55.603,55.836,5.222,5.243,5.191,5.212
179,1,B3LYP,6-311++G**,3,4,69.556,69.789,55.603,55.836,5.01,6.034,4.979,6.003
180,1,B3LYP,6-311++G**,3,6,69.556,69.789,55.603,55.836,4.462,5.982,4.431,5.951
181,1,B3LYP,6-311++G**,3,8,69.556,69.789,55.603,55.836,4.148,5.943,4.117,5.912
182,1,B3LYP,6-311++G**,3,10,69.556,69.789,55.603,55.836,4.145,5.863,4.114,5.832
183,1,B3LYP,6-311++G**,3,12,69.556,69.789,55.603,55.836,3.646,5.868,3.615,5.837
184,1,B3LYP,6-311++G**,4,1,69.88,71.374,55.927,57.421,7.107,7.107,7.076,7.076
185,1,B3LYP,6-311++G**,4,2,69.88,71.374,55.927,57.421,6.02,6.525,5.989,6.494
186,1,B3LYP,6-311++G**,4,3,69.88,71.374,55.927,57.421,5.222,5.243,5.191,5.212
187,1,B3LYP,6-311++G**,4,4,69.88,71.374,55.927,57.421,5.01,6.034,4.979,6.003
188,1,B3LYP,6-311++G**,4,6,69.88,71.374,55.927,57.421,4.462,5.982,4.431,5.951
189,1,B3LYP,6-311++G**,4,8,69.88,71.374,55.927,57.421,4.148,5.943,4.117,5.912
190,1,B3LYP,6-311++G**,4,10,69.88,71.374,55.927,57.421,4.145,5.863,4.114,5.832
191,1,B3LYP,6-311++G**,4,12,69.88,71.374,55.927,57.421,3.646,5.868,3.615,5.837
192,1,B3LYP,6-311++G**,6,1,69.994,72.177,56.041,58.224,7.107,7.107,7.076,7.076
193,1,B3LYP,6-311++G**,6,2,69.994,72.177,56.041,58.224,6.02,6.525,5.989,6.494
194,1,B3LYP,6-311++G**,6,3,69.994,72.177,56.041,58.224,5.222,5.243,5.191,5.212
195,1,B3LYP,6-311++G**,6,4,69.994,72.177,56.041,58.224,5.01,6.034,4.979,6.003
196,1,B3LYP,6-311++G**,6,6,69.994,72.177,56.041,58.224,4.462,5.982,4.431,5.951
197,1,B3LYP,6-311++G**,6,8,69.994,72.177,56.041,58.224,4.148,5.943,4.117,5.912
198,1,B3LYP,6-311++G**,6,10,69.994,72.177,56.041,58.224,4.145,5.863,4.114,5.832
199,1,B3LYP,6-311++G**,6,12,69.994,72.177,56.041,58.224,3.646,5.868,3.615,5.837
200,2,B3LYP,6-311++G**,1,1,68.507,68.507,54.844,54.844,7.185,7.185,7.082,7.082
201,2,B3LYP,6-311++G**,1,2,68.507,68.507,54.844,54.844,6.098,6.603,5.995,6.5
202,2,B3LYP,6-311++G**,1,3,68.507,68.507,54.844,54.844,5.3,5.321,5.197,5.218
203,2,B3LYP,6-311++G**,1,4,68.507,68.507,54.844,54.844,5.088,6.112,4.985,6.009
204,2,B3LYP,6-311++G**,1,6,68.507,68.507,54.844,54.844,4.54,6.06,4.437,5.957
205,2,B3LYP,6-311++G**,1,8,68.507,68.507,54.844,54.844,4.226,6.021,4.123,5.918
206,2,B3LYP,6-311++G**,1,10,68.507,68.507,54.844,54.844,4.223,5.941,4.12,5.838
207,2,B3LYP,6-311++G**,1,12,68.507,68.507,54.844,54.844,3.724,5.946,3.621,5.843
208,2,B3LYP,6-311++G**,2,1,68.86,68.982,55.197,55.319,7.185,7.185,7.082,7.082
209,2,B3LYP,6-311++G**,2,2,68.86,68.982,55.197,55.319,6.098,6.603,5.995,6.5
210,2,B3LYP,6-311++G**,2,3,68.86,68.982,55.197,55.319,5.3,5.321,5.197,5.218
211,2,B3LYP,6-311++G**,2,4,68.86,68.982,55.197,55.319,5.088,6.112,4.985,6.009
212,2,B3LYP,6-311++G**,2,6,68.86,68.982,55.197,55.319,4.54,6.06,4.437,5.957
213,2,B3LYP,6-311++G**,2,8,68.86,68.982,55.197,55.319,4.226,6.021,4.123,5.918
