ppm	intensity
113.7299	69.7012
113.7142	121.1302
113.6985	105.3998
113.6828	92.8144
113.6671	-87.5822
113.6514	-127.6943
113.6357	-178.6548
113.6199	-1.0855
113.6042	25.8659
113.5885	31.743
113.5728	44.0085
113.5571	-72.6932
113.5414	54.3092
113.5257	-123.1376
113.51	49.9133
113.4943	-172.2341
113.4786	68.137
113.4629	41.9155
113.4472	180.7226
113.4315	70.5549
113.4158	-54.7954
113.4001	-121.9242
113.3844	-17.6582
113.3687	18.795
113.3529	-40.8771
113.3372	223.2756
113.3215	35.8381
113.3058	-13.6638
113.2901	9.696
113.2744	132.1721
113.2587	181.9205
113.243	85.2553
113.2273	130.2772
113.2116	34.9349
113.1959	196.5347
113.1802	136.3228
113.1645	134.482
113.1488	-64.528
113.1331	178.7507
113.1173	76.3506
113.1016	8.2472
113.0859	114.028
113.0702	134.9014
113.0545	-43.301
113.0388	-106.423
113.0231	57.2963
113.0074	72.4108
112.9917	184.7039
112.976	65.5834
112.9603	153.4643
112.9446	249.6303
112.9289	25.608
112.9132	9.0708
112.8975	-106.471
112.8818	59.2187
112.8661	201.4913
112.8503	200.9034
112.8346	159.4887
112.8189	147.7167
112.8032	165.2641
112.7875	65.4933
112.7718	-42.119
112.7561	99.4296
112.7404	45.9383
112.7247	123.4326
112.709	32.6993
112.6933	174.1083
112.6776	16.5387
112.6619	-7.1538
112.6462	-18.416
112.6305	-66.5153
112.6147	37.3927
112.599	-22.3064
112.5833	211.0936
112.5676	225.8986
112.5519	-40.8574
112.5362	-72.4999
112.5205	114.2004
112.5048	156.0173
112.4891	-25.5284
112.4734	149.1543
112.4577	34.4842
112.442	25.0241
112.4263	186.7262
112.4106	138.928
112.3949	197.8689
112.3792	12.452
112.3634	-68.8364
112.3477	-266.2906
112.332	-98.8454
112.3163	-80.5166
112.3006	-41.2731
112.2849	104.6013
112.2692	-18.424
112.2535	-7.5531
112.2378	50.3925
112.2221	-26.4219
112.2064	-109.344
112.1907	95.8661
112.175	57.7051
112.1593	213.1733
112.1436	66.1377
112.1279	77.1898
112.1121	-86.0134
112.0964	19.1807
112.0807	-59.4646
112.065	51.8152
112.0493	13.4686
112.0336	38.3414
112.0179	25.5736
112.0022	115.6028
111.9865	47.0975
111.9708	59.6951
111.9551	14.8833
111.9394	213.9078
111.9237	-137.4762
111.908	141.5585
111.8923	159.4532
111.8766	-29.1528
111.8608	60.2893
111.8451	214.6408
111.8294	100.3984
111.8137	104.4752
111.798	-117.5277
111.7823	94.4504
111.7666	-89.7812
111.7509	-32.5065
111.7352	154.7287
111.7195	176.0057
111.7038	12.049
111.6881	109.1768
111.6724	146.921
111.6567	94.4922
111.641	73.2541
111.6253	-33.985
111.6096	99.1858
111.5938	100.1977
111.5781	211.5193
111.5624	62.0072
111.5467	220.2826
111.531	-36.1166
111.5153	81.1134
111.4996	71.5458
111.4839	106.34
111.4682	75.3443
111.4525	-85.8396
111.4368	208.9557
111.4211	17.0279
111.4054	123.09
111.3897	42.2652
111.374	-15.9947
111.3582	103.3481
111.3425	150.4108
111.3268	148.9927
111.3111	80.3489
111.2954	-87.6095
111.2797	21.6506
111.264	128.0898
111.2483	98.5879
111.2326	7.5732
111.2169	115.722
111.2012	171.7139
111.1855	285.0923
111.1698	-52.3002
111.1541	62.3969
111.1384	-8.3709
111.1227	116.485
111.1069	137.3105
111.0912	-44.5522
111.0755	-16.0508
111.0598	54.1827
111.0441	-119.0598
111.0284	74.2595
111.0127	49.457
110.997	65.0102
110.9813	-0.6212
110.9656	39.839
110.9499	63.4368
110.9342	181.9657
110.9185	-0.9558
110.9028	205.2141
110.8871	174.9041
110.8714	197.2446
110.8556	-38.2961
110.8399	12.4975
110.8242	277.578
110.8085	168.5941
110.7928	-81.1205
110.7771	119.5852
110.7614	162.5454
110.7457	146.254
110.73	112.4095
110.7143	-12.4387
110.6986	-31.2587
110.6829	25.4651
110.6672	-43.7008
110.6515	92.2542
110.6358	114.4386
110.62	195.6723
110.6043	271.8164
110.5886	39.6485
110.5729	-2.7474
110.5572	106.1268
110.5415	70.1267
110.5258	170.7023
110.5101	22.9083
110.4944	93.5992
110.4787	194.8574
110.463	-3.7357
110.4473	48.1732
110.4316	37.5756
110.4159	8.045
110.4002	130.8817
110.3845	44.8787
110.3688	97.3241
110.353	137.6927
110.3373	116.1159
110.3216	-71.2948
110.3059	87.7776
110.2902	82.7872
110.2745	10.2484
110.2588	-46.6656
110.2431	191.3136
110.2274	89.5493
110.2117	114.9401
110.196	-11.5524
110.1803	54.7823
110.1646	167.6016
110.1489	109.1904
110.1332	17.1778
110.1174	-66.8302
110.1017	153.844
110.086	167.4815
110.0703	74.3361
110.0546	89.0259
110.0389	33.9352
110.0232	78.5968
110.0075	47.3788
109.9918	14.4588
109.9761	86.7581
109.9604	11.1243
109.9447	15.8641
109.929	94.674
109.9133	-13.6539
109.8976	185.7526
109.8819	168.432
109.8661	-21.8004
109.8504	-76.2314
109.8347	107.8803
109.819	2.0003
109.8033	19.8557
109.7876	-19.5302
109.7719	72.3703
109.7562	73.5573
109.7405	66.1058
109.7248	-99.5886
109.7091	-111.9704
109.6934	59.6337
109.6777	98.6207
109.662	248.2558
109.6463	309.0784
109.6306	169.8659
109.6148	-17.6236
109.5991	16.7278
109.5834	-15.898
109.5677	-94.2581
109.552	138.2642
109.5363	54.5386
109.5206	81.6576
109.5049	-19.9521
109.4892	116.5058
109.4735	111.5367
109.4578	9.41
109.4421	124.5294
109.4264	154.1814
109.4107	5.8071
109.395	39.3483
109.3792	-108.5472
109.3635	-43.7985
109.3478	-154.7943
109.3321	152.4239
109.3164	113.568
109.3007	66.1249
109.285	234.5829
109.2693	-9.6203
109.2536	152.856
109.2379	-80.2212
109.2222	68.67
109.2065	69.8564
109.1908	1.0702
109.1751	18.5597
109.1594	122.9276
109.1437	8.1662
109.128	184.6306
109.1122	23.526
109.0965	-108.3142
109.0808	-142.8498
109.0651	80.196
109.0494	0.209
109.0337	-75.178
109.018	237.1729
109.0023	116.7279
108.9866	-151.2218
