,configuration,functional,basis,n_dmso,n_water,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max
161,5,B3LYP,6-31+G*,1,2,66.709,66.709,56.579,56.579,6.421,6.883,6.342,6.804
162,5,B3LYP,6-31+G*,1,3,66.709,66.709,56.579,56.579,5.655,5.667,5.576,5.588
163,5,B3LYP,6-31+G*,1,4,66.709,66.709,56.579,56.579,5.562,6.475,5.483,6.396
164,5,B3LYP,6-31+G*,1,6,66.709,66.709,56.579,56.579,4.63,5.301,4.551,5.222
165,5,B3LYP,6-31+G*,1,8,66.709,66.709,56.579,56.579,4.791,6.376,4.712,6.297
166,5,B3LYP,6-31+G*,1,10,66.709,66.709,56.579,56.579,4.753,6.293,4.674,6.214
167,5,B3LYP,6-31+G*,1,12,66.709,66.709,56.579,56.579,4.402,6.287,4.323,6.208
168,5,B3LYP,6-31+G*,2,1,67.039,67.19,56.909,57.06,7.321,7.321,7.242,7.242
169,5,B3LYP,6-31+G*,2,2,67.039,67.19,56.909,57.06,6.421,6.883,6.342,6.804
170,5,B3LYP,6-31+G*,2,3,67.039,67.19,56.909,57.06,5.655,5.667,5.576,5.588
171,5,B3LYP,6-31+G*,2,4,67.039,67.19,56.909,57.06,5.562,6.475,5.483,6.396
172,5,B3LYP,6-31+G*,2,6,67.039,67.19,56.909,57.06,4.63,5.301,4.551,5.222
173,5,B3LYP,6-31+G*,2,8,67.039,67.19,56.909,57.06,4.791,6.376,4.712,6.297
174,5,B3LYP,6-31+G*,2,10,67.039,67.19,56.909,57.06,4.753,6.293,4.674,6.214
175,5,B3LYP,6-31+G*,2,12,67.039,67.19,56.909,57.06,4.402,6.287,4.323,6.208
176,5,B3LYP,6-31+G*,3,1,66.913,67.682,56.783,57.552,7.321,7.321,7.242,7.242
177,5,B3LYP,6-31+G*,3,2,66.913,67.682,56.783,57.552,6.421,6.883,6.342,6.804
178,5,B3LYP,6-31+G*,3,3,66.913,67.682,56.783,57.552,5.655,5.667,5.576,5.588
179,5,B3LYP,6-31+G*,3,4,66.913,67.682,56.783,57.552,5.562,6.475,5.483,6.396
180,5,B3LYP,6-31+G*,3,6,66.913,67.682,56.783,57.552,4.63,5.301,4.551,5.222
181,5,B3LYP,6-31+G*,3,8,66.913,67.682,56.783,57.552,4.791,6.376,4.712,6.297
182,5,B3LYP,6-31+G*,3,10,66.913,67.682,56.783,57.552,4.753,6.293,4.674,6.214
183,5,B3LYP,6-31+G*,3,12,66.913,67.682,56.783,57.552,4.402,6.287,4.323,6.208
184,5,B3LYP,6-31+G*,4,1,67.526,68.906,57.396,58.776,7.321,7.321,7.242,7.242
185,5,B3LYP,6-31+G*,4,2,67.526,68.906,57.396,58.776,6.421,6.883,6.342,6.804
186,5,B3LYP,6-31+G*,4,3,67.526,68.906,57.396,58.776,5.655,5.667,5.576,5.588
